Player Name,Salary (in Million USD)
Lionel Messi,75
Cristiano Ronaldo,70
Neymar Jr,50
Kylian Mbappe,45
Mohamed Salah,35
Robert Lewandowski,30
Kevin De Bruyne,28
Virgil van Dijk,25
Sergio Ramos,20
Luka Modric,18
Eden Hazard,17
Paul Pogba,16
Antoine Griezmann,15
Raheem Sterling,15
Gareth Bale,14
Karim Benzema,14
Romelu Lukaku,13
David de Gea,13
Thiago Silva,12
Sadio Mane,12
Gerard Pique,11
Marcelo Vieira,11
Harry Kane,11
Toni Kroos,10
Alisson Becker,10
Jadon Sancho,9.5
N'Golo Kante,9
Joshua Kimmich,9
Luis Suarez,9
Edinson Cavani,8.5
Philippe Coutinho,8.5
Jan Oblak,8
Leon Goretzka,8
Frenkie de Jong,8
Trent Alexander-Arnold,7.5
Joao Felix,7.5
Andrew Robertson,7.5
Thomas Muller,7
Rodri,7
Jordan Henderson,7
Ciro Immobile,6.5
Mats Hummels,6.5
Kalidou Koulibaly,6.5
Pierre-Emerick Aubameyang,6
Marco Verratti,6
Hakim Ziyech,6
Bernardo Silva,6
Riyad Mahrez,6
Bruno Fernandes,6
